Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Estimated_Project_Value,Most_Recent_Inspection,Type_of_Structure,Work_Description,Active_Parcel,Date_Inspection_Completed,Occupancy_Type,Residential_Units_Demoed,District,Inspection_Outcome
"DECK-2024-15214","2024-10-07 12:00:00","2024-10-16 12:00:00",,"2026-10-16 12:00:00","Deck Permit","Residential","Renovation","Issued",86875,"57","BATTERY DR","HALIFAX","40091811",900.0000,,"Dwelling - Single Detached","Replacing section of deck","Y",,,,"District 11",
"DEMO-2021-16585","2022-01-27 12:00:00","2022-07-11 12:00:00",,"2025-02-01 12:00:00","Demolition Permit","Demolition","Demolition","Expired",68185,"2378","CREIGHTON ST","HALIFAX","00155093",,"Building - DEM - Demolition - Final","Dwelling - Multiple Units","The project is tearing down most of the existing property and rebuilding a semi-detached building which will house 2 4-unit building","Y","2025-01-29 12:00:00",,4,"District 08","Passed"
"DEMO-2022-08561","2022-08-19 12:00:00",,"2022-08-22 12:00:00",,"Demolition Permit","Demolition","Demolition","Withdrawn",89031,"12116","HIGHWAY 224","MIDDLE MUSQUODOBOIT","00538090",,,"Mixed Use - Residential & Other Use(s)","To remove attached garage from existing dwelling that sustained fire damage","Y",,,,"District 01",
"DEMO-2023-05514","2023-05-16 12:00:00",,,,"Demolition Permit","Demolition","Demolition","Applicant Revisions",65158,"5525","ALMON ST","HALIFAX","00161323",,,"Dwelling - Single Detached","We are looking to demolish the house on 5525 Almon Street in preparation for a new build on that lot.","Y",,,1,"District 08",
"DEMO-2023-10006","2023-07-26 12:00:00","2023-07-27 12:00:00","2023-08-08 12:00:00","2023-12-29 12:00:00","Demolition Permit","Demolition","Demolition","Completed",128233,"18","CAPER CRT","HAMMONDS PLAINS","41082264",,"Building - DEM - Demolition - Final","Commercial","Complete cleanup (concrete, metal, other debris) of site following Tantallon  wildfire","Y","2023-08-08 12:00:00",,1,"District 14","Passed"
"DEMO-2024-03775","2024-04-05 12:00:00","2024-04-10 12:00:00",,"2024-07-08 12:00:00","Demolition Permit","Demolition","Demolition","Expired",98570,"73","NADINE DR","PORTERS LAKE","40133860",,,"Accessory Structure","Demo garage","Y",,,,"District 02",
"DEMO-2024-18664","2025-01-06 12:00:00",,,"2025-03-07 12:00:00","Demolition Permit","Demolition","Demolition","Applicant Revisions",75357,"1520","QUEEN ST","HALIFAX","00077263",,,"Commercial","Demolition of 1520 Queen Street.

DEV-ROW-2025-00236 - ROW permit","Y",,,,"District 07",
"GP-2020-00218","2020-12-17 12:00:00",,"2021-01-26 12:00:00",,"Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",126276,"78","CLAMSHELL RD","MUSQUODOBOIT HARBOUR","40215154",,,"Commercial","Laundry/commercial kitchen, accessory building to commercial bed and breakfast Ocean Bay View Guesthouse.","Y",,"Hotel / Motel",,"District 02",
"GP-2021-01134","2021-01-23 12:00:00","2021-03-29 12:00:00","2023-05-26 12:00:00","2023-11-26 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",171557,"93","SHIRLEY ELLIOTT CRT","BEDFORD","41479627",50000.0000,"Building - SWI - Swimming Pool Final","Residential","Installation of 16x32 inground swimming pool.","Y","2023-05-26 12:00:00",,,"District 16","Passed"
"GP-2021-03014","2021-03-02 12:00:00","2021-03-24 12:00:00","2022-06-10 12:00:00","2021-05-31 12:00:00","Demolition Permit","Non Residential","Demolition","Expired (Closed)",,,,,"40050593",,"Halifax Water - Discretionary","Commercial","Demolition of a commercial structure.","Y","2021-05-06 12:00:00",,,"District 12","Passed"
"GP-2021-04667","2021-03-22 12:00:00","2021-04-14 12:00:00",,"2023-04-14 12:00:00","Deck Permit","Residential","New","Expired",81748,"5731","SOUTHWOOD DR","HALIFAX","00046656",20000.0000,"Building - DEC - Deck - Footing","Residential","To construct a new deck on to the rear of an existing residential home located at 5731 Southwood Drive, Halifax, NS..","Y","2021-05-06 12:00:00",,,"District 07","Passed"
"GP-2021-06049","2021-04-08 12:00:00","2021-06-09 12:00:00","2022-07-05 12:00:00","2022-12-29 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",168358,"972","MCCABE LAKE DR","MIDDLE SACKVILLE","41443813",70000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Installation of residential swimming pool","Y","2022-07-05 12:00:00",,,"District 14","Passed"
"GP-2021-07220","2021-04-23 12:00:00","2021-06-01 12:00:00",,"2021-07-30 12:00:00","Demolition Permit","Demolition","Demolition","Expired",75123,"2361","QUINN ST","HALIFAX","00007708",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Demolition of a house, foundation, and small deck","Y","2023-06-30 12:00:00",,1,"District 09","Passed"
"GP-2021-08537","2021-05-18 12:00:00","2021-07-20 12:00:00",,"2023-07-20 12:00:00","Demolition Permit","Non Residential","Demolition","Expired",138352,"927","ROCKY LAKE DR","BEDFORD","00315622",,,"Commercial","Partial demolition of an existing building","Y",,,,"District 16",
"GP-2021-09580","2021-06-15 12:00:00","2021-06-21 12:00:00",,"2025-06-23 12:00:00","Solar Permit","Installation","Roof/Wall Mount - Photovoltaic","Issued",8246,"68","FOX POINT CRT","UPPER TANTALLON","40838526",,"Building - SOL - Photovoltaic Final","Residential","PV roof install","Y","2021-06-22 12:00:00",,,"District 13","Passed"
"MOBILE-2022-11492","2022-08-19 12:00:00","2022-08-25 12:00:00","2022-10-27 12:00:00","2024-08-25 12:00:00","Mobile Home Permit","Installation","In a Land Lease Community","Completed",35172,"1127","SUSAN DR","BEAVER BANK","40092744",,"Building - MOB - Mobile Home Final","Mobile Home","Replacing an old mobile home with a new single section modular on an existing home-site in a landlease community","Y","2022-10-27 12:00:00",,,"District 15","Passed"
"MOBILE-2024-08885","2024-07-05 12:00:00","2024-07-18 12:00:00","2024-10-18 12:00:00","2026-07-18 12:00:00","Mobile Home Permit","Installation","On Private Lot","Completed",185693,"3","HOPEFUL WALK","LOWER SACKVILLE","40871337",,"Building - MOB - Mobile Home Final","Mobile Home","11x20 Dwelling Unit with steps up to Manufactured Porch","Y","2024-10-18 12:00:00",,,"District 15","Passed"
"OCCUPY-2021-20244","2022-03-09 12:00:00","2022-04-04 12:00:00","2022-04-13 12:00:00","2024-04-04 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",135515,"3660","COMMISSION ST","HALIFAX","41163031",,"Building - OCC - Commercial Final","Commercial","Mixed Use and Commercial Building Permit BPCOM-2022-00202

“Royal Canadian Navy Association Peregrine”","Y","2022-04-13 12:00:00","Recreation Use",,"District 08","Passed"
"OCCUPY-2022-11464","2022-08-27 12:00:00","2023-06-20 12:00:00","2023-08-25 12:00:00","2025-06-20 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",137458,"819 B","LUCASVILLE RD","LUCASVILLE","00476978",,"Building - OCC - Plumbing - Prior to Occupancy","Mixed Use - Residential & Other Use(s)","Renovate Accessory: Create Commercial Occupancy 'One's Beansprouts'","Y","2023-08-25 12:00:00","Farming Use",,"District 14","Passed"
"OCCUPY-2023-05838","2023-06-29 12:00:00","2023-07-06 12:00:00",,"2025-07-06 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Issued",62175,"140","ALDERNEY DR","DARTMOUTH","40763476",,"Building - OCC - Commercial Final","Commercial","No work to be done, just moving in to an existing building.","Y","2023-09-15 12:00:00","Arts & Culture",,"District 05","Partially Passed"
"OCCUPY-2023-16274","2023-12-18 12:00:00","2023-12-29 12:00:00","2024-01-08 12:00:00","2025-12-29 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",52259,"100","MAIN ST","DARTMOUTH","00209767",,"Building - OCC - Commercial Final","Commercial","Restaurant branding was changed, walls painted etc.","Y","2024-01-08 12:00:00","Restaurant",,"District 06","Passed"
"OCCUPY-2024-09735","2024-07-22 12:00:00",,"2024-08-15 12:00:00",,"Application to Occupy","Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",13579,"221","HILLSIDE DR","BOUTILIERS POINT","40425092",,,"Dwelling - Single Detached","Legalize existing basement suite","Y",,"Residential Use",,"District 13",
"POOL-2021-11719","2021-06-23 12:00:00","2021-07-15 12:00:00","2021-12-01 12:00:00","2022-01-15 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",160714,"187","HOLLYHOCK WAY","BEDFORD","41348079",60000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","14''x24' Inground Pool Installed in back yard.  Design Point Engineering completed the lot grading plan.  6' high PVC Fence will be installed to code.","Y","2021-12-01 12:00:00",,,"District 16","Passed"
"POOL-2022-06585","2022-05-31 12:00:00","2022-06-15 12:00:00","2022-12-20 12:00:00","2023-06-19 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",103197,"19","BEECH HILL DR","LAKE ECHO","40139370",10925.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Install inground pool in rear yard.","Y","2022-12-20 12:00:00",,,"District 02","Passed"
"POOL-2023-04465","2023-04-17 12:00:00",,"2023-04-21 12:00:00",,"Swimming Pool Permit","Installation","Above Ground","Withdrawn",38367,"127","SUNNYVALE CRES","LOWER SACKVILLE","40393555",4000.0000,,"Dwelling - Single Detached","installation of an oval above ground pool size 12' x 24'.  we also plan to install a landing leading from our current deck on our home, to the pool, which will 3' x 4'.","Y",,,,"District 15",
"POOL-2024-10382","2024-08-08 12:00:00","2024-08-12 12:00:00",,"2025-08-12 12:00:00","Swimming Pool Permit","Installation","Inground","Issued",81922,"848","MARLBOROUGH AVE","HALIFAX","00001636",30000.0000,,"Dwelling - Single Detached","Install inground pool","Y",,,,"District 07",
"SIGN-2021-18587","2021-11-05 12:00:00","2021-12-07 12:00:00","2021-12-07 12:00:00","2023-12-07 12:00:00","Sign Permit","Fascia Sign","Non Illuminated","Completed",15359,"16","TITUS ST","HALIFAX","00188664",,,"Commercial","Removing x1 existing sign and installing x4 non-illuminated ACM panel signs (Fascia) mounting to the building using 1 1/4' thick aluminum bracket, sign lock adhesive and self tapping screws.","Y",,,,"District 10",
"SIGN-2022-12936","2023-02-17 12:00:00","2023-04-05 12:00:00","2023-04-05 12:00:00","2025-04-05 12:00:00","Sign Permit","Ground Sign","Illuminated","Completed",130480,"30","MARKETWAY LANE","TIMBERLEA","41084823",,,"Commercial","pylon and directional signage - Ground signs only 

 fascia (building) signs (multiple) 
(Separate application will be submitted for Fascia)","Y",,,,"District 12",
"SIGN-2023-06463","2023-08-02 12:00:00",,,,"Sign Permit","Billboard","Variable Message","Applicant Revisions",108348,"805","HIGHWAY 7","WESTPHAL","00619270",,,"Not Associated to a Building","install digital billboard","Y",,,,"District 04",
"SIGN-2024-01858","2024-03-07 12:00:00",,,,"Sign Permit","Ground Sign","Variable Message","Applicant Revisions",42830,"650","SACKVILLE DR","LOWER SACKVILLE","40003287",,,"Commercial","Upgrade existing sign to include digital sign","Y",,,,"District 15",
"SIGN-2024-14393","2024-09-24 12:00:00","2024-10-16 12:00:00","2024-10-16 12:00:00","2026-10-16 12:00:00","Sign Permit","Fascia Sign","Illuminated","Completed",139086,"30","LAMONT TERR","DARTMOUTH","41240581",,,"Commercial","TO SUPPLY AND INSTALL :
- NEW FASCIA SIGNS AND ONE (1) PROJECTED SIGN","Y",,,,"District 06",
"SOLAR-2021-11688","2021-06-21 12:00:00","2021-07-15 12:00:00","2021-09-03 12:00:00","2023-07-15 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",158675,"44","QUARTZ DR","HALIFAX","41361221",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Installation of a 30 panel rooftop solar PV system","Y","2021-09-03 12:00:00",,,"District 11","Passed"
"SOLAR-2021-14334","2021-08-18 12:00:00","2021-08-23 12:00:00","2022-04-07 12:00:00","2023-08-23 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",20812,"48","ARLINGTON AVE","HALIFAX","00224527",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2022-04-07 12:00:00",,,"District 09","Passed"
"SOLAR-2021-16721","2021-09-30 12:00:00","2021-10-07 12:00:00","2022-08-15 12:00:00","2023-10-07 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",97450,"15","GLENMORREN CRT","FALL RIVER","40676587",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof

Plans show 23 panels to be installed","Y","2022-08-15 12:00:00",,,"District 01","Passed"
"SOLAR-2021-19441","2021-11-26 12:00:00","2021-11-30 12:00:00","2022-04-27 12:00:00","2023-11-30 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",142108,"145","STONE HEDGES LANE","WAVERLEY","41263534",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Roof top solar PV installation","Y","2022-04-27 12:00:00",,,"District 01","Passed"
"SOLAR-2022-02751","2022-03-03 12:00:00","2022-03-07 12:00:00","2022-05-17 12:00:00","2024-03-07 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",146254,"78","DUNSMORE DR","FALL RIVER","41296617",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","13.50 kW DC, 36 Panels","Y","2022-05-17 12:00:00",,,"District 01","Passed"
"SOLAR-2022-07255","2022-05-24 12:00:00","2022-05-26 12:00:00","2024-06-18 12:00:00","2026-06-04 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Cancelled",87886,"2235","SHORE RD","EASTERN PASSAGE","41424409",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Installation of solar Panel roof top","Y","2024-06-04 12:00:00",,,"District 03","Partially Passed"
"SOLAR-2022-09606","2022-08-16 12:00:00","2022-08-17 12:00:00","2022-09-13 12:00:00","2024-08-17 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",170668,"39","BRUNELLO BLVD","TIMBERLEA","41386160",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install Solar photovoltaic (electric) on roof of residence","Y","2022-09-13 12:00:00",,,"District 12","Passed"
"SOLAR-2022-12388","2024-05-31 12:00:00","2024-06-05 12:00:00","2024-06-19 12:00:00","2026-06-05 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",146141,"41","CANNON TERR","DARTMOUTH","41303041",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install photovoltaic 'electric' system on roof of residence.","Y","2024-06-19 12:00:00",,,"District 05","Passed"
"SOLAR-2022-15084","2022-11-25 12:00:00","2022-11-28 12:00:00","2023-03-14 12:00:00","2024-11-28 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",75063,"6686","THIRD ST","HALIFAX","00006742",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Design and Installation - 5.9kW Solar PV flush mounted and ballasted on a sloped and flat roof respectively.","Y","2023-03-14 12:00:00",,,"District 09","Passed"
"SOLAR-2023-01118","2023-02-06 12:00:00","2023-02-08 12:00:00","2023-05-23 12:00:00","2025-02-08 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",141734,"121","KEYPORT AVE","EASTERN PASSAGE","41217944",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","To install solar panels on roof of house","Y","2023-05-23 12:00:00",,,"District 03","Passed"
"SOLAR-2023-03053","2023-03-21 12:00:00","2023-03-27 12:00:00","2023-11-09 12:00:00","2025-03-27 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",5911,"56","ROCKCLIFFE CRES","HAMMONDS PLAINS","40460578",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Installation for 27 panels solar PV roof mount system","Y","2023-11-09 12:00:00",,,"District 14","Passed"
"SOLAR-2023-05503","2023-10-23 12:00:00","2023-10-31 12:00:00","2024-01-19 12:00:00","2025-10-31 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",157942,"99","CHERRYWOOD DR","COLE HARBOUR","41347089",,"Building - SOL - Photovoltaic Final","Dwelling - Townhouse","Install Roof Mount Photovoltaic Solars","Y","2024-01-19 12:00:00",,,"District 04","Passed"
"SOLAR-2023-07304","2023-06-07 12:00:00","2023-06-12 12:00:00",,"2025-06-12 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Issued",43284,"17","LOUISE CRT","LOWER SACKVILLE","00444232",,,"Dwelling - Single Detached","Install 18 x VSUN 455 watt roof mounted PV solar panels","Y",,,,"District 15",
"SOLAR-2023-09591","2023-07-19 12:00:00","2023-07-24 12:00:00","2023-12-07 12:00:00","2025-07-24 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",166134,"18","VERBENA CRT","PORTERS LAKE","41409814",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-12-07 12:00:00",,,"District 02","Passed"
"SOLAR-2023-12080","2023-09-14 12:00:00","2023-09-19 12:00:00","2024-06-07 12:00:00","2025-09-19 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",33116,"665","KINSAC RD","KINSAC","40225013",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2024-06-07 12:00:00",,,"District 15","Passed"
